NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Isle of Wight,51093,VA,11,9,NA,1,1,NA,NA,21
James City,51095,VA,12,2,NA,NA,1,NA,NA,15
Morgan,54065,WV,NA,NA,NA,NA,NA,NA,NA,0
Grant,54023,WV,NA,NA,NA,NA,NA,NA,NA,0
Dallas,05039,AR,1,1,NA,NA,NA,NA,NA,2
Prairie,05117,AR,2,3,NA,NA,NA,NA,NA,5
Jackson,05067,AR,2,1,NA,NA,NA,NA,NA,3
Lawrence,05075,AR,2,NA,NA,NA,1,NA,NA,3
King,48269,TX,NA,NA,NA,NA,NA,NA,NA,0
Motley,48345,TX,NA,NA,NA,NA,NA,NA,NA,0
Lunenburg,51111,VA,1,NA,NA,NA,1,NA,NA,2
Spotsylvania,51177,VA,2,NA,NA,NA,NA,NA,NA,2
Henrico,51087,VA,39,1,NA,NA,1,NA,NA,41
King William,51101,VA,4,NA,NA,NA,1,NA,NA,5
Pulaski,51155,VA,NA,NA,NA,NA,NA,NA,NA,0
Warren,51187,VA,2,NA,NA,NA,NA,NA,NA,2
